CustomerID,Tenure_Months,Internet_Type,Contract,Monthly_Bill,Total_Charges,Tech_Support_Calls,Speed_Drops,Churn
CUST-0001,8,Fiber Optic,Month-to-month,83.6,668.8,3,0,0
CUST-0002,22,Fiber Optic,Month-to-month,104.05,2289.1,4,3,1
CUST-0003,52,DSL,Two year,40.47,2104.44,3,1,0
CUST-0004,69,DSL,Two year,50.96,3516.24,0,2,0
CUST-0005,10,DSL,One year,57.43,574.3,5,1,0
CUST-0006,69,Fiber Optic,Month-to-month,109.38,7547.22,4,3,1
CUST-0007,30,Fiber Optic,One year,76.26,2287.8,3,3,0
CUST-0008,36,Fiber Optic,Month-to-month,91.66,3299.76,4,1,0
CUST-0009,54,DSL,Month-to-month,63.48,3427.92,5,1,0
CUST-0010,45,Fiber Optic,One year,99.23,4465.35,5,3,1
CUST-0011,29,Fiber Optic,Month-to-month,107.64,3121.56,0,3,0
CUST-0012,69,DSL,Two year,51.34,3542.46,5,3,0
CUST-0013,29,DSL,Two year,53.33,1546.57,1,0,0
CUST-0014,68,DSL,Month-to-month,65.66,4464.88,5,2,1
CUST-0015,13,Fiber Optic,One year,108.95,1416.35,0,1,0
CUST-0016,42,Fiber Optic,Two year,106.59,4476.78,0,1,0
CUST-0017,4,Fiber Optic,One year,101.98,407.92,1,3,1
CUST-0018,41,DSL,Two year,53.16,2179.56,5,2,0
CUST-0019,11,DSL,Month-to-month,60.33,663.63,6,1,0
CUST-0020,43,Fiber Optic,Two year,87.54,3764.22,0,2,0
CUST-0021,25,DSL,Month-to-month,54.74,1368.5,3,1,1
CUST-0022,69,Fiber Optic,Month-to-month,100.13,6908.97,2,3,1
CUST-0023,17,Fiber Optic,Two year,86.69,1473.73,4,0,0
CUST-0024,2,DSL,One year,49.01,98.02,5,0,0
CUST-0025,22,DSL,Month-to-month,36.06,793.32,1,1,1
CUST-0026,53,DSL,Two year,52.16,2764.48,0,3,0
CUST-0027,5,Fiber Optic,One year,79.65,398.25,2,3,0
CUST-0028,12,Fiber Optic,Month-to-month,91.04,1092.48,8,3,1
CUST-0029,70,Fiber Optic,One year,80.86,5660.2,5,3,1
CUST-0030,56,Fiber Optic,Two year,85.05,4762.8,5,1,0
CUST-0031,40,Fiber Optic,Month-to-month,95.67,3826.8,1,0,1
CUST-0032,12,Fiber Optic,One year,86.61,1039.32,7,1,0
CUST-0033,23,DSL,Two year,63.89,1469.47,3,1,0
CUST-0034,38,DSL,Two year,41.5,1577.0,0,2,0
CUST-0035,60,DSL,Month-to-month,40.95,2457.0,0,2,0
CUST-0036,20,DSL,Month-to-month,40.93,818.6,5,2,1
CUST-0037,34,DSL,One year,60.46,2055.64,1,1,0
CUST-0038,21,DSL,Month-to-month,47.83,1004.43,4,0,0
CUST-0039,58,DSL,Month-to-month,41.61,2413.38,2,1,0
CUST-0040,33,DSL,Month-to-month,66.9,2207.7,0,1,0
CUST-0041,22,Fiber Optic,Month-to-month,109.38,2406.36,0,1,0
CUST-0042,59,Fiber Optic,One year,75.19,4436.21,4,3,0
